program              partysize  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  Bytes Send  runtime_external(s)  peakRAM(MiB)  System Time(s)
Benchmarks/Division  3          0              25000            1000        0               0:00:46.737          7300023     47.06                1396          4.82
Benchmarks/Division  3          0              25000            1000        0               0:00:48.794          7300023     49.16                1460          4.92
Benchmarks/Division  3          0              25000            1000        0               0:00:48.073          7300023     48.35                1410          5.08
Benchmarks/Division  3          0              25000            1000        0               0:00:52.811          7300023     53.10                1428          5.15
Benchmarks/Division  3          0              25000            1000        0               0:00:50.269          7300023     50.56                1289          4.74
Benchmarks/Division  3          0              25000            1000        0               0:00:49.441          7300023     49.72                1432          4.97
Benchmarks/Division  3          0              25000            1000        0               0:00:45.777          7300023     46.07                1281          4.81
Benchmarks/Division  3          0              25000            1000        0               0:00:46.583          7300023     46.88                1428          4.92
Benchmarks/Division  3          0              25000            1000        0               0:00:46.928          7300023     47.23                1338          4.94
Benchmarks/Division  3          0              25000            1000        0               0:00:56.169          7300023     56.47                1348          4.91
Benchmarks/Division  3          0              25000            1000        1               0:00:46.993          7300023     47.28                1336          4.74
Benchmarks/Division  3          0              25000            1000        1               0:00:47.855          7300023     48.13                1306          4.68
Benchmarks/Division  3          0              25000            1000        1               0:00:49.812          7300023     50.08                1430          4.72
Benchmarks/Division  3          0              25000            1000        1               0:00:51.275          7300023     51.58                1391          4.87
Benchmarks/Division  3          0              25000            1000        1               0:00:46.020          7300023     46.31                1437          4.76
Benchmarks/Division  3          0              25000            1000        1               0:00:52.134          7300023     52.43                1381          4.74
Benchmarks/Division  3          0              25000            1000        1               0:00:50.281          7300023     50.59                1394          4.82
Benchmarks/Division  3          0              25000            1000        1               0:00:51.451          7300023     51.65                1353          4.83
Benchmarks/Division  3          0              25000            1000        1               0:00:49.662          7300023     49.95                1347          4.80
Benchmarks/Division  3          0              25000            1000        1               0:00:46.603          7300023     46.81                1289          4.65
Benchmarks/Division  3          0              25000            1000        2               0:00:46.917          7300023     47.53                1426          4.72
Benchmarks/Division  3          0              25000            1000        2               0:00:46.149          7300023     46.70                1374          4.62
Benchmarks/Division  3          0              25000            1000        2               0:00:52.602          7300023     53.06                1358          4.76
Benchmarks/Division  3          0              25000            1000        2               0:00:49.762          7300023     49.96                1265          4.72
Benchmarks/Division  3          0              25000            1000        2               0:00:47.623          7300023     47.95                1317          4.67
Benchmarks/Division  3          0              25000            1000        2               0:00:46.585          7300023     47.09                1441          4.71
Benchmarks/Division  3          0              25000            1000        2               0:00:53.961          7300023     54.24                1425          4.77
Benchmarks/Division  3          0              25000            1000        2               0:00:50.456          7300023     51.74                1336          4.71
Benchmarks/Division  3          0              25000            1000        2               0:00:47.298          7300023     47.69                1367          4.55
Benchmarks/Division  3          0              25000            1000        2               0:00:47.354          7300023     47.64                1331          4.74
Benchmarks/Division  3          0              25000            1000        5               0:00:46.989          7300023     48.22                1384          4.60
Benchmarks/Division  3          0              25000            1000        5               0:00:56.429          7300023     56.74                1270          4.70
Benchmarks/Division  3          0              25000            1000        5               0:00:50.435          7300023     50.97                1251          4.55
Benchmarks/Division  3          0              25000            1000        5               0:00:53.280          7300023     53.75                1279          4.56
Benchmarks/Division  3          0              25000            1000        5               0:00:53.726          7300023     54.01                1478          4.91
Benchmarks/Division  3          0              25000            1000        5               0:00:52.485          7300023     52.78                1426          4.70
Benchmarks/Division  3          0              25000            1000        5               0:00:52.900          7300023     54.22                1213          4.62
Benchmarks/Division  3          0              25000            1000        5               0:00:54.595          7300023     55.04                1421          4.75
Benchmarks/Division  3          0              25000            1000        5               0:00:52.716          7300023     52.96                1319          4.50
Benchmarks/Division  3          0              25000            1000        5               0:00:49.784          7300023     50.10                1303          4.61
