program  c.domain  adv.model   protocol   partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  latencies(ms)  bandwidths(Mbs)  input_size  packetdrops(%)  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  System time (s)
65       RING      semihonest  rep4-ring  4          35.67         794                1                  0              25000            64          0               1.06702              1.78                 582           1566%      ~17302        183.763         512.646          1.56
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          0               1.23746              1.97                 579           1502%      ~17302        183.763         512.646          1.99
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          0               1.4633               2.24                 584           1413%      ~17302        183.763         512.646          2.41
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          0               1.16617              1.90                 579           1520%      ~17302        183.763         512.646          1.88
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          0               1.13196              1.75                 571           1576%      ~17302        183.763         512.646          1.40
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          0               1.06413              1.72                 581           1617%      ~17302        183.763         512.646          1.61
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          0               1.0975               1.72                 583           1592%      ~17302        183.763         512.646          1.56
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          0               1.11492              1.78                 579           1530%      ~17302        183.763         512.646          1.48
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          0               1.26902              2.00                 580           1535%      ~17302        183.763         512.646          2.65
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          0               1.26245              1.96                 589           1559%      ~17302        183.763         512.646          2.96
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               9.70391              11.53                583           386%       ~17302        183.763         512.646          3.99
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               8.42934              10.64                583           422%       ~17302        183.763         512.646          4.05
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               8.95159              11.81                583           381%       ~17302        183.763         512.646          4.48
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               8.319                10.13                586           424%       ~17302        183.763         512.646          3.25
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               10.0774              13.91                584           318%       ~17302        183.763         512.646          3.82
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               9.30316              11.10                584           407%       ~17302        183.763         512.646          3.99
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               9.09497              12.95                580           344%       ~17302        183.763         512.646          4.16
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               9.50835              12.06                582           383%       ~17302        183.763         512.646          3.86
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               8.36716              12.43                583           360%       ~17302        183.763         512.646          4.12
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          1               9.43924              13.49                581           334%       ~17302        183.763         512.646          3.94
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               15.0858              19.38                585           251%       ~17302        183.763         512.646          4.19
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               15.1811              18.43                586           264%       ~17302        183.763         512.646          4.22
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               14.3597              18.19                587           263%       ~17302        183.763         512.646          3.88
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               15.1833              19.50                581           249%       ~17302        183.763         512.646          4.61
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               15.225               22.35                584           217%       ~17302        183.763         512.646          4.18
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               15.4282              20.97                580           233%       ~17302        183.763         512.646          4.62
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               15.3533              21.01                584           231%       ~17302        183.763         512.646          4.21
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               16.0563              19.74                583           245%       ~17302        183.763         512.646          4.66
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               16.0737              19.97                583           246%       ~17302        183.763         512.646          4.30
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          2               15.7998              18.93                585           251%       ~17302        183.763         512.646          4.00
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          5               36.6351              44.86                585           119%       ~17302        183.763         512.646          4.22
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          5               33.8489              45.40                581           117%       ~17302        183.763         512.646          4.33
65       RING      semihonest  rep4-ring  4          NA            NA                 NA                 0              25000            64          5               41.0097              50.76                586           106%       ~17302        183.763         512.646          5.05
